Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Cameroon,CAIT,Industrial Processes,CO2,MtCO₂e,1.01,1.01,0.62,0.5,0.54,0.49,0.44,0.39,0.42,0.38,0.44,0.39,0.4,0.41,0.38,0.37,0.39,0.36,0.35,0.3,0.25,0.12,0.22,0.2,0.25,0.25,0.21,0.26
Cameroon,CAIT,Transportation,CO2,MtCO₂e,2.94,3.18,3.14,3.23,3.04,2.9,2.78,2.68,2.51,2.19,2.13,1.87,2.11,2.17,2.1,2.07,1.86,1.86,1.64,1.88,1.82,1.73,1.71,1.76,1.69,1.57,1.57,1.76
Canada,CAIT,Industrial Processes,CO2,MtCO₂e,6.75,6.19,6.26,5.95,5.98,6.56,6.06,6.04,5.39,6.98,7.75,7.74,7.6,7.52,7.21,7.15,6.95,7.17,7.05,6.76,6.59,6.12,6.46,5.71,4.84,4.76,4.72,5.76
Canada,CAIT,Transportation,CO2,MtCO₂e,185.25,180.83,180.01,180.43,181.81,176.78,175.06,174.68,169.48,174.01,175.76,169.41,170.62,166.39,162.28,159.65,147.79,149.97,151.16,147.47,144.85,140.44,137.09,133.42,127.18,125.21,120.95,124.67
Cape Verde,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,CAIT,Transportation,CO2,MtCO₂e,0.28,0.26,0.24,0.24,0.25,0.28,0.29,0.26,0.25,0.23,0.27,0.27,0.23,0.11,0.09,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04
Central African Republic,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,CAIT,Transportation,CO2,MtCO₂e,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09
Chad,CAIT,Industrial Processes,CO2,MtCO₂e,0.08,0.08,0.08,0.08,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad,CAIT,Transportation,CO2,MtCO₂e,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.1,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.05
Chile,CAIT,Industrial Processes,CO2,MtCO₂e,0.88,0.88,0.84,0.87,0.97,1.15,1.1,1.07,1.1,1.33,1.34,1.26,1.17,1.22,1.13,1.1,1.03,1.03,0.97,1.15,0.96,0.98,1.01,1.16,1.17,1.07,0.96,0.65
Chile,CAIT,Transportation,CO2,MtCO₂e,27.38,26.38,25.23,23.57,24.49,22.43,21.86,21.44,20.71,20.58,19.81,18.29,18.56,16.92,16.33,16.58,16.07,16.99,16.74,16.56,15.73,14.84,13.64,12.33,11.41,10.29,9.48,9.08
China,CAIT,Industrial Processes,CO2,MtCO₂e,769.3,756.4,733.7,778.6,748.3,714.8,708.6,639.6,583.6,525.9,515.0,470.1,411.6,380.0,345.2,296.6,270.8,244.4,228.3,211.4,202.9,192.9,184.6,164.4,142.8,122.4,101.3,84.51
China,CAIT,Transportation,CO2,MtCO₂e,880.9,843.42,827.14,770.56,741.09,686.13,621.89,568.78,517.08,507.07,468.58,434.81,397.31,371.14,313.14,276.44,254.25,248.48,157.36,140.29,146.13,169.85,127.37,116.35,125.7,111.1,100.62,94.15
Colombia,CAIT,Industrial Processes,CO2,MtCO₂e,5.32,5.32,5.61,5.28,4.79,5.05,4.59,4.04,3.93,4.44,4.54,4.12,4.13,3.44,3.38,3.11,3.12,3.24,2.88,3.82,3.85,3.73,3.9,3.92,3.32,2.89,2.72,2.72
Colombia,CAIT,Transportation,CO2,MtCO₂e,28.79,28.8,27.57,25.44,24.45,25.86,24.48,20.27,19.87,21.45,21.23,20.81,19.85,20.24,17.73,17.26,19.46,18.56,19.08,21.41,21.87,20.86,20.33,17.04,18.27,18.01,17.09,16.35
Comoros,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,CAIT,Transportation,CO2,MtCO₂e,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Cook Islands,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cook Islands,CAIT,Transportation,CO2,MtCO₂e,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02
Costa Rica,CAIT,Industrial Processes,CO2,MtCO₂e,0.62,0.62,0.62,0.58,0.57,0.54,0.55,0.5,0.83,0.84,0.92,0.57,0.82,0.62,0.47,0.5,0.51,0.45,0.47,0.46,0.4,0.36,0.37,0.4,0.37,0.3,0.3,0.27
Costa Rica,CAIT,Transportation,CO2,MtCO₂e,5.79,5.68,5.31,4.97,4.87,4.8,4.68,4.56,4.44,4.38,4.27,3.98,3.77,3.86,3.59,3.51,3.17,2.97,3.08,2.96,2.67,2.61,2.59,2.59,2.47,2.39,1.65,1.59
Côte d'Ivoire,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Côte d'Ivoire,CAIT,Transportation,CO2,MtCO₂e,3.58,3.84,3.16,2.65,2.5,2.38,1.61,1.5,1.58,1.56,1.29,1.28,1.23,1.14,1.04,1.41,1.26,1.29,1.42,1.21,1.38,1.25,1.23,1.09,1.1,1.14,1.18,1.19
Croatia,CAIT,Industrial Processes,CO2,MtCO₂e,1.29,1.08,1.17,1.23,1.14,1.04,1.09,1.21,1.25,1.57,1.67,1.64,1.55,1.52,1.43,1.43,1.45,1.26,1.13,0.87,0.81,0.69,0.63,0.84,0.69,0.83,N/A,N/A
Croatia,CAIT,Transportation,CO2,MtCO₂e,6.53,6.07,5.85,5.54,5.59,5.51,5.71,5.83,6.05,6.05,6.14,5.78,5.43,5.25,5.09,4.69,4.38,4.32,4.29,4.06,3.91,3.47,3.27,3.08,2.91,2.76,2.85,3.56
Cuba,CAIT,Industrial Processes,CO2,MtCO₂e,0.58,0.58,0.59,0.61,0.65,0.71,0.68,0.64,0.64,0.68,0.72,0.69,0.64,0.58,0.56,0.56,0.56,0.7,0.76,0.73,0.73,0.62,0.63,0.46,0.45,0.86,0.86,1.3
Cuba,CAIT,Transportation,CO2,MtCO₂e,1.63,1.49,1.5,1.4,1.24,1.06,1.22,1.25,1.41,1.82,1.85,1.83,1.91,1.97,1.89,2.06,2.21,2.17,2.35,2.49,2.76,2.2,1.97,1.89,1.95,2.6,3.72,5.07
Cyprus,CAIT,Industrial Processes,CO2,MtCO₂e,0.92,0.88,0.88,0.97,0.75,0.5,0.55,0.56,0.67,0.82,0.81,0.82,0.82,0.81,0.75,0.77,0.75,0.76,0.74,0.74,0.78,0.81,0.75,0.78,0.75,0.69,0.63,0.67
Cyprus,CAIT,Transportation,CO2,MtCO₂e,1.98,1.91,1.81,1.75,1.79,1.99,2.16,2.23,2.18,2.18,2.14,2.0,2.02,1.98,1.88,1.77,1.79,1.73,1.69,1.65,1.57,1.51,1.46,1.37,1.32,1.3,1.16,1.16
Czech Republic,CAIT,Industrial Processes,CO2,MtCO₂e,1.73,1.7,1.56,1.48,1.33,1.52,1.67,1.47,1.57,2.0,2.04,1.75,1.63,1.63,1.49,1.4,1.63,1.94,1.96,2.07,2.08,2.12,2.01,2.21,2.2,2.47,0.0,0.0
Czech Republic,CAIT,Transportation,CO2,MtCO₂e,18.54,18.0,17.32,16.51,16.0,16.14,16.47,16.6,17.64,18.26,18.41,17.45,17.15,15.85,15.12,13.29,12.75,11.87,11.76,10.67,10.39,10.08,7.25,8.54,7.97,7.92,6.18,6.95
Democratic Republic of the Congo,CAIT,Industrial Processes,CO2,MtCO₂e,0.08,0.08,0.16,0.13,0.17,0.16,0.17,0.19,0.18,0.16,0.21,0.2,0.21,0.16,0.13,0.11,0.08,0.07,0.07,0.05,0.05,0.1,0.1,0.07,0.06,0.07,0.1,0.19
Democratic Republic of the Congo,CAIT,Transportation,CO2,MtCO₂e,2.14,1.9,2.67,4.51,3.31,2.11,2.13,1.66,1.52,1.52,1.34,1.2,1.11,0.9,0.82,0.69,0.65,0.79,0.44,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.48,0.57
Denmark,CAIT,Industrial Processes,CO2,MtCO₂e,1.19,1.1,0.93,0.89,0.87,0.87,0.86,0.67,0.76,1.16,1.41,1.4,1.36,1.46,1.33,1.42,1.39,1.39,1.36,1.39,1.34,1.28,1.2,1.19,1.21,1.19,1.09,0.88
Denmark,CAIT,Transportation,CO2,MtCO₂e,12.46,12.22,11.96,11.53,11.45,11.63,12.75,13.04,13.21,13.92,14.15,13.55,13.37,13.12,12.71,12.24,12.06,12.03,12.04,12.0,11.94,11.82,11.7,11.57,11.13,10.86,10.9,10.31
Djibouti,CAIT,Industrial Processes,CO2,MtCO₂e,0.14,0.14,0.14,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,CAIT,Transportation,CO2,MtCO₂e,0.14,0.14,0.11,0.12,0.1,0.06,0.07,0.09,0.05,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.08,0.08,0.08,0.07
Dominica,CAIT,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,CAIT,Transportation,CO2,MtCO₂e,0.06,0.06,0.06,0.06,0.05,0.08,0.06,0.06,0.17,0.06,0.06,0.06,0.06,0.07,0.08,0.07,0.09,0.08,0.06,0.06,0.06,0.04,0.05,0.05,0.05,0.05,0.04,0.04
