Temperature - (Celsius), Year, Statistics, Longitude, Latitude
26.200000762939, 1931, Jul Average, 106.816666, -6.2
26.700000762939, 1931, Aug Average, 106.816666, -6.2
26.89999961853, 1931, Sep Average, 106.816666, -6.2
27, 1931, Oct Average, 106.816666, -6.2
28.200000762939, 1931, Nov Average, 106.816666, -6.2
26.5, 1931, Dec Average, 106.816666, -6.2
26.200000762939, 1932, Jan Average, 106.816666, -6.2
26.10000038147, 1932, Feb Average, 106.816666, -6.2
26.300001144409, 1932, Mar Average, 106.816666, -6.2
26.700000762939, 1932, Apr Average, 106.816666, -6.2
27.39999961853, 1932, May Average, 106.816666, -6.2
26.10000038147, 1932, Jun Average, 106.816666, -6.2
26.300001144409, 1932, Jul Average, 106.816666, -6.2
26.700000762939, 1932, Aug Average, 106.816666, -6.2
26.700000762939, 1932, Sep Average, 106.816666, -6.2
27.200000762939, 1932, Oct Average, 106.816666, -6.2
27.5, 1932, Nov Average, 106.816666, -6.2
26.39999961853, 1932, Dec Average, 106.816666, -6.2
26.89999961853, 1933, Jan Average, 106.816666, -6.2
26, 1933, Feb Average, 106.816666, -6.2
26.39999961853, 1933, Mar Average, 106.816666, -6.2
26.60000038147, 1933, Apr Average, 106.816666, -6.2
27.700000762939, 1933, May Average, 106.816666, -6.2
26.200000762939, 1933, Jun Average, 106.816666, -6.2
26.300001144409, 1933, Jul Average, 106.816666, -6.2
26.5, 1933, Aug Average, 106.816666, -6.2
26.10000038147, 1933, Sep Average, 106.816666, -6.2
26.800001144409, 1933, Oct Average, 106.816666, -6.2
27.300001144409, 1933, Nov Average, 106.816666, -6.2
26.39999961853, 1933, Dec Average, 106.816666, -6.2
26.300001144409, 1934, Jan Average, 106.816666, -6.2
25.89999961853, 1934, Feb Average, 106.816666, -6.2
26, 1934, Mar Average, 106.816666, -6.2
26.60000038147, 1934, Apr Average, 106.816666, -6.2
27.10000038147, 1934, May Average, 106.816666, -6.2
26.300001144409, 1934, Jun Average, 106.816666, -6.2
26.10000038147, 1934, Jul Average, 106.816666, -6.2
26.300001144409, 1934, Aug Average, 106.816666, -6.2
26.300001144409, 1934, Sep Average, 106.816666, -6.2
27.200000762939, 1934, Oct Average, 106.816666, -6.2
27.89999961853, 1934, Nov Average, 106.816666, -6.2
26.39999961853, 1934, Dec Average, 106.816666, -6.2
26.300001144409, 1935, Jan Average, 106.816666, -6.2
26.800001144409, 1935, Feb Average, 106.816666, -6.2
26.800001144409, 1935, Mar Average, 106.816666, -6.2
26.60000038147, 1935, Apr Average, 106.816666, -6.2
27.39999961853, 1935, May Average, 106.816666, -6.2
26.10000038147, 1935, Jun Average, 106.816666, -6.2
25.800001144409, 1935, Jul Average, 106.816666, -6.2
26.300001144409, 1935, Aug Average, 106.816666, -6.2
26.700000762939, 1935, Sep Average, 106.816666, -6.2
27, 1935, Oct Average, 106.816666, -6.2
28.200000762939, 1935, Nov Average, 106.816666, -6.2
27, 1935, Dec Average, 106.816666, -6.2
26.300001144409, 1936, Jan Average, 106.816666, -6.2
26.800001144409, 1936, Feb Average, 106.816666, -6.2
26.89999961853, 1936, Mar Average, 106.816666, -6.2
26.60000038147, 1936, Apr Average, 106.816666, -6.2
27.700000762939, 1936, May Average, 106.816666, -6.2
26.200000762939, 1936, Jun Average, 106.816666, -6.2
26.200000762939, 1936, Jul Average, 106.816666, -6.2
26.5, 1936, Aug Average, 106.816666, -6.2
26.800001144409, 1936, Sep Average, 106.816666, -6.2
27, 1936, Oct Average, 106.816666, -6.2
27.89999961853, 1936, Nov Average, 106.816666, -6.2
26.89999961853, 1936, Dec Average, 106.816666, -6.2
26.300001144409, 1937, Jan Average, 106.816666, -6.2
26.89999961853, 1937, Feb Average, 106.816666, -6.2
27.200000762939, 1937, Mar Average, 106.816666, -6.2
26.700000762939, 1937, Apr Average, 106.816666, -6.2
27, 1937, May Average, 106.816666, -6.2
26.300001144409, 1937, Jun Average, 106.816666, -6.2
26.200000762939, 1937, Jul Average, 106.816666, -6.2
26.800001144409, 1937, Aug Average, 106.816666, -6.2
26.700000762939, 1937, Sep Average, 106.816666, -6.2
27, 1937, Oct Average, 106.816666, -6.2
28.10000038147, 1937, Nov Average, 106.816666, -6.2
26.5, 1937, Dec Average, 106.816666, -6.2
26.5, 1938, Jan Average, 106.816666, -6.2
26.60000038147, 1938, Feb Average, 106.816666, -6.2
27, 1938, Mar Average, 106.816666, -6.2
27.10000038147, 1938, Apr Average, 106.816666, -6.2
27.39999961853, 1938, May Average, 106.816666, -6.2
26.200000762939, 1938, Jun Average, 106.816666, -6.2
26, 1938, Jul Average, 106.816666, -6.2
26.10000038147, 1938, Aug Average, 106.816666, -6.2
26.800001144409, 1938, Sep Average, 106.816666, -6.2
27.300001144409, 1938, Oct Average, 106.816666, -6.2
28.10000038147, 1938, Nov Average, 106.816666, -6.2
26.60000038147, 1938, Dec Average, 106.816666, -6.2
26.60000038147, 1939, Jan Average, 106.816666, -6.2
26.10000038147, 1939, Feb Average, 106.816666, -6.2
26.700000762939, 1939, Mar Average, 106.816666, -6.2
26.89999961853, 1939, Apr Average, 106.816666, -6.2
27, 1939, May Average, 106.816666, -6.2
26.10000038147, 1939, Jun Average, 106.816666, -6.2
26.10000038147, 1939, Jul Average, 106.816666, -6.2
26.5, 1939, Aug Average, 106.816666, -6.2
26.60000038147, 1939, Sep Average, 106.816666, -6.2
26.89999961853, 1939, Oct Average, 106.816666, -6.2
28.10000038147, 1939, Nov Average, 106.816666, -6.2
26.800001144409, 1939, Dec Average, 106.816666, -6.2
26, 1940, Jan Average, 106.816666, -6.2
26.300001144409, 1940, Feb Average, 106.816666, -6.2
27, 1940, Mar Average, 106.816666, -6.2
27.10000038147, 1940, Apr Average, 106.816666, -6.2
26, 1940, May Average, 106.816666, -6.2
26.60000038147, 1940, Jun Average, 106.816666, -6.2
26.39999961853, 1940, Jul Average, 106.816666, -6.2
26.39999961853, 1940, Aug Average, 106.816666, -6.2
27, 1940, Sep Average, 106.816666, -6.2
28, 1940, Oct Average, 106.816666, -6.2
28.5, 1940, Nov Average, 106.816666, -6.2
27.10000038147, 1940, Dec Average, 106.816666, -6.2
27.10000038147, 1941, Jan Average, 106.816666, -6.2
27.200000762939, 1941, Feb Average, 106.816666, -6.2
27.5, 1941, Mar Average, 106.816666, -6.2
27.800001144409, 1941, Apr Average, 106.816666, -6.2
28, 1941, May Average, 106.816666, -6.2
27.10000038147, 1941, Jun Average, 106.816666, -6.2
26.700000762939, 1941, Jul Average, 106.816666, -6.2
26.800001144409, 1941, Aug Average, 106.816666, -6.2
26.89999961853, 1941, Sep Average, 106.816666, -6.2
27.39999961853, 1941, Oct Average, 106.816666, -6.2
28.39999961853, 1941, Nov Average, 106.816666, -6.2
27.10000038147, 1941, Dec Average, 106.816666, -6.2
26.800001144409, 1942, Jan Average, 106.816666, -6.2
26.89999961853, 1942, Feb Average, 106.816666, -6.2
27.39999961853, 1942, Mar Average, 106.816666, -6.2
27.200000762939, 1942, Apr Average, 106.816666, -6.2
27.700000762939, 1942, May Average, 106.816666, -6.2
26.89999961853, 1942, Jun Average, 106.816666, -6.2
26.39999961853, 1942, Jul Average, 106.816666, -6.2
26.700000762939, 1942, Aug Average, 106.816666, -6.2
27, 1942, Sep Average, 106.816666, -6.2
27.200000762939, 1942, Oct Average, 106.816666, -6.2
27.5, 1942, Nov Average, 106.816666, -6.2
27.10000038147, 1942, Dec Average, 106.816666, -6.2
26, 1943, Jan Average, 106.816666, -6.2
26.10000038147, 1943, Feb Average, 106.816666, -6.2
26.300001144409, 1943, Mar Average, 106.816666, -6.2
26.60000038147, 1943, Apr Average, 106.816666, -6.2
27.5, 1943, May Average, 106.816666, -6.2
26, 1943, Jun Average, 106.816666, -6.2
25.700000762939, 1943, Jul Average, 106.816666, -6.2
26.10000038147, 1943, Aug Average, 106.816666, -6.2
26.700000762939, 1943, Sep Average, 106.816666, -6.2
26.700000762939, 1943, Oct Average, 106.816666, -6.2
27.5, 1943, Nov Average, 106.816666, -6.2
