Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Costa Rica,CAIT,Total including LUCF,CO2,MtCO₂e,-3.04,-3.13,-3.74,-3.43,-3.46,-3.79,-3.84,-0.32,-0.33,-0.01,0.08,-0.93,-1.21,-1.58,-0.97,-2.0,-2.1,11.25,11.34,11.31,10.78,10.82,11.15,11.19,10.52,10.49,9.4,9.21
Costa Rica,CAIT,Transportation,CO2,MtCO₂e,5.79,5.68,5.31,4.97,4.87,4.8,4.68,4.56,4.44,4.38,4.27,3.98,3.77,3.86,3.59,3.51,3.17,2.97,3.08,2.96,2.67,2.61,2.59,2.59,2.47,2.39,1.65,1.59
Côte d'Ivoire,CAIT,Total including LUCF,CO2,MtCO₂e,17.03,15.98,16.29,15.66,15.18,14.57,12.62,12.86,12.63,13.11,12.3,12.37,-2.2,-2.65,-2.77,-1.69,-1.82,1.57,1.92,0.09,0.01,-0.9,-1.47,-1.64,-1.77,-1.96,-1.94,-2.03
Côte d'Ivoire,CAIT,Transportation,CO2,MtCO₂e,3.58,3.84,3.16,2.65,2.5,2.38,1.61,1.5,1.58,1.56,1.29,1.28,1.23,1.14,1.04,1.41,1.26,1.29,1.42,1.21,1.38,1.25,1.23,1.09,1.1,1.14,1.18,1.19
Croatia,CAIT,Total including LUCF,CO2,MtCO₂e,13.65,13.11,12.85,12.51,13.21,13.63,15.21,9.89,10.74,12.16,13.39,12.04,9.85,9.49,10.0,8.67,7.59,6.46,6.9,6.87,5.45,3.73,3.8,3.23,3.89,3.36,3.03,8.73
Croatia,CAIT,Transportation,CO2,MtCO₂e,6.53,6.07,5.85,5.54,5.59,5.51,5.71,5.83,6.05,6.05,6.14,5.78,5.43,5.25,5.09,4.69,4.38,4.32,4.29,4.06,3.91,3.47,3.27,3.08,2.91,2.76,2.85,3.56
Cuba,CAIT,Total including LUCF,CO2,MtCO₂e,11.64,14.44,13.48,12.87,13.34,14.85,14.54,67.95,64.8,64.0,64.89,63.99,-6.85,-7.74,-7.48,-6.75,-5.52,-6.59,-6.97,-7.85,-7.4,-9.77,-11.72,-13.18,-14.71,-12.7,-7.37,0.62
Cuba,CAIT,Transportation,CO2,MtCO₂e,1.63,1.49,1.5,1.4,1.24,1.06,1.22,1.25,1.41,1.82,1.85,1.83,1.91,1.97,1.89,2.06,2.21,2.17,2.35,2.49,2.76,2.2,1.97,1.89,1.95,2.6,3.72,5.07
Cyprus,CAIT,Total including LUCF,CO2,MtCO₂e,6.99,6.85,6.47,6.45,6.08,6.72,7.24,7.43,7.79,8.01,7.85,7.55,7.76,7.6,7.66,7.0,6.82,7.0,6.75,6.49,6.19,6.09,5.73,5.86,5.62,5.37,5.01,4.49
Cyprus,CAIT,Transportation,CO2,MtCO₂e,1.98,1.91,1.81,1.75,1.79,1.99,2.16,2.23,2.18,2.18,2.14,2.0,2.02,1.98,1.88,1.77,1.79,1.73,1.69,1.65,1.57,1.51,1.46,1.37,1.32,1.3,1.16,1.16
Czech Republic,CAIT,Total including LUCF,CO2,MtCO₂e,90.85,90.29,88.42,87.19,90.15,94.6,98.42,107.08,104.32,111.46,116.78,113.75,107.65,111.09,110.42,106.19,110.38,110.59,99.36,106.33,112.2,114.14,112.58,112.1,118.37,121.52,124.28,137.57
Czech Republic,CAIT,Transportation,CO2,MtCO₂e,18.54,18.0,17.32,16.51,16.0,16.14,16.47,16.6,17.64,18.26,18.41,17.45,17.15,15.85,15.12,13.29,12.75,11.87,11.76,10.67,10.39,10.08,7.25,8.54,7.97,7.92,6.18,6.95
Democratic Republic of the Congo,CAIT,Total including LUCF,CO2,MtCO₂e,148.56,148.33,148.75,150.77,151.13,148.59,149.68,148.84,148.59,148.76,148.35,148.91,148.16,147.32,147.17,146.73,146.61,147.74,148.54,148.41,148.13,148.38,147.87,147.91,148.06,148.11,148.37,149.81
Democratic Republic of the Congo,CAIT,Transportation,CO2,MtCO₂e,2.14,1.9,2.67,4.51,3.31,2.11,2.13,1.66,1.52,1.52,1.34,1.2,1.11,0.9,0.82,0.69,0.65,0.79,0.44,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.48,0.57
Denmark,CAIT,Total including LUCF,CO2,MtCO₂e,32.29,34.33,32.55,34.71,38.94,37.16,42.04,48.6,48.3,50.55,53.82,58.63,51.42,55.05,60.5,55.13,55.01,52.77,57.01,59.79,63.78,73.36,59.97,63.25,59.35,57.06,62.78,52.14
Denmark,CAIT,Transportation,CO2,MtCO₂e,12.46,12.22,11.96,11.53,11.45,11.63,12.75,13.04,13.21,13.92,14.15,13.55,13.37,13.12,12.71,12.24,12.06,12.03,12.04,12.0,11.94,11.82,11.7,11.57,11.13,10.86,10.9,10.31
Djibouti,CAIT,Total including LUCF,CO2,MtCO₂e,0.47,0.49,0.54,0.46,0.56,0.51,0.48,0.52,0.46,0.47,0.47,0.43,0.43,0.4,0.41,0.4,0.38,0.37,0.35,0.35,0.35,0.34,0.33,0.33,0.34,0.34,0.34,0.33
Djibouti,CAIT,Transportation,CO2,MtCO₂e,0.14,0.14,0.11,0.12,0.1,0.06,0.07,0.09,0.05,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.08,0.08,0.08,0.07
